STOPCODE,stop_name,total_boardings,lat,lon,POSTCODE,lsoa11cd,lad_code,lad_name,employment_all_30min,hospitals_30min,gp_30min,supermarkets_30min,pharmacies_30min,primary_schools_30min,secondary_schools_30min,main_bua_30min
17009,CORRINGHAM ROAD,68.7388,51.56595685669738,-0.28109087693965457,HA9 9LZ,E01000482,E09000005,Brent,122705.0,4.0,44.0,22.0,80.0,49.0,16.0,0.0
17032,BOSTON MANOR ROAD,128.32945,51.4869739222051,-0.3080732920484704,TW8 0PW,E01002684,E09000018,Hounslow,131350.0,3.0,30.0,19.0,46.0,32.0,12.0,0.0
17033,BOSTON MANOR ROAD,0.11496,51.48671307524309,-0.3080685437462977,TW8 8DW,E01002684,E09000018,Hounslow,131350.0,3.0,30.0,19.0,46.0,32.0,12.0,0.0
17036,COLINDALE STATION,982.12612,51.59512032929721,-0.25016177708903203,NW9 5HR,E01000155,E09000003,Barnet,107140.0,4.0,36.0,17.0,63.0,47.0,6.0,0.0
17037,COLINDALE STATION,1121.81952,51.59564896007475,-0.24882760947203036,NW9 5HL,E01000155,E09000003,Barnet,107140.0,4.0,36.0,17.0,63.0,47.0,6.0,0.0
17039,AJAX AVENUE,168.28928,51.593803468206346,-0.2529121660583567,NW9 5EY,E01000148,E09000003,Barnet,72265.0,3.0,28.0,15.0,46.0,34.0,7.0,0.0
1705,CAMBRIDGE HEATH STATION,225.34824,51.532093710661044,-0.05708636444080843,E2 9ED,E01004197,E09000030,Tower Hamlets,1138405.0,12.0,62.0,19.0,106.0,103.0,26.0,0.0
1706,CAMBRIDGE HEATH STATION,129.12,51.53249610442632,-0.05803525502952874,E2 9ED,E01004197,E09000030,Tower Hamlets,1138405.0,12.0,62.0,19.0,106.0,103.0,26.0,0.0
1707,CAMBRIDGE HEATH STATION,792.60858,51.53239820982534,-0.05809709429418691,E2 9EQ,E01004197,E09000030,Tower Hamlets,1138405.0,12.0,62.0,19.0,106.0,103.0,26.0,0.0
17281,BROOMFIELD STREET,31.63592,51.51541281563302,-0.02000562648213015,E14 6LA,E01004250,E09000030,Tower Hamlets,275680.0,4.0,34.0,10.0,51.0,65.0,21.0,0.0
17457,PARK LANE / FAIRFIELD HALLS,1607.25019,51.37268726251285,-0.09640033110389236,CR0 1JD,E01001045,E09000008,Croydon,103615.0,6.0,32.0,21.0,51.0,48.0,8.0,0.0
17636,FERNDALE CRESCENT,282.74378,51.533402459174575,-0.4823670401581277,UB8 2NJ,E01033724,E09000017,Hillingdon,50825.0,2.0,8.0,5.0,14.0,13.0,2.0,1.0
17637,FERNDALE CRESCENT,189.91855,51.53485124595531,-0.4824486241002369,UB8 2AG,E01033724,E09000017,Hillingdon,50825.0,2.0,8.0,5.0,14.0,13.0,2.0,1.0
17644,FALLING LANE,218.30915,51.51567840853329,-0.4753897166189117,UB7 7TT,E01002554,E09000017,Hillingdon,66600.0,2.0,14.0,6.0,24.0,19.0,3.0,1.0
17772,SOUTHGATE POLICE STATION,238.73599,51.633315671030665,-0.13145942328048663,N14 5HA,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
17775,SOUTHGATE COLLEGE,137.70838,51.63058895018876,-0.12794471602933374,N14 6BW,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
1778,HOUNSLOW BUS STATION,935.41982,51.47082496270153,-0.35365113077379806,TW3 1RS,E01002642,E09000018,Hounslow,112040.0,2.0,32.0,16.0,45.0,36.0,15.0,0.0
17944,TONSLEY STREET,140.73628,51.45949481952592,-0.1901589870908086,SW18 1SP,E01004509,E09000032,Wandsworth,101745.0,1.0,30.0,9.0,44.0,44.0,11.0,0.0
17947,SWANDON WAY,294.87681,51.461789083564916,-0.18674281423936942,SW18 1EJ,E01004509,E09000032,Wandsworth,101745.0,1.0,30.0,9.0,44.0,44.0,11.0,0.0
17965,RIDLEY ROAD MARKET,306.0955,51.548489554099845,-0.0708545023658634,E8 2NH,E01001748,E09000012,Hackney,688590.0,13.0,95.0,29.0,143.0,138.0,33.0,0.0
17966,RIDLEY ROAD MARKET,139.75432,51.54833017086643,-0.07100547717812185,E8 2PD,E01001748,E09000012,Hackney,688590.0,13.0,95.0,29.0,143.0,138.0,33.0,0.0
17968,RICHMOND ROAD,175.2387,51.542379781327845,-0.07007457445727429,E8 3LQ,E01033707,E09000012,Hackney,930495.0,11.0,72.0,25.0,126.0,121.0,29.0,0.0
18082,SEVEN SISTERS ROAD,228.13462,51.56064364922813,-0.11543933635238515,N7 7QP,E01002731,E09000019,Islington,828050.0,12.0,92.0,50.0,169.0,123.0,29.0,1.0
18351,NORWOOD AVENUE,457.58727,51.56563561091909,0.18184466046613118,RM7 0PU,E01002249,E09000016,Havering,65900.0,2.0,33.0,19.0,36.0,35.0,7.0,0.0
18352,NORWOOD AVENUE,208.59301,51.56572251129045,0.18297430532463202,RM7 0PS,E01002249,E09000016,Havering,65900.0,2.0,33.0,19.0,36.0,35.0,7.0,0.0
18539,SUTTON BUS GARAGE,46.94153,51.36907391928264,-0.19888406719568313,SM1 1RG,E01004142,E09000029,Sutton,70885.0,4.0,24.0,17.0,39.0,29.0,8.0,0.0
1867,LOWELL STREET,356.28032,51.512407212997886,-0.034317351752464614,E14 7HS,E01004254,E09000030,Tower Hamlets,1658880.0,11.0,68.0,24.0,127.0,125.0,30.0,0.0
18671,CHRIST CHURCH,93.08942,51.41598141078221,-0.17807202075108397,SW19 2NZ,E01003367,E09000024,Merton,196280.0,5.0,55.0,30.0,92.0,84.0,14.0,0.0
