borough,STOPCODE,alpha
Barking and Dagenham,29747,0.552043
Barking and Dagenham,29749,0.5502159
Barking and Dagenham,29750,0.5505553
Barking and Dagenham,29751,0.5603806
Barking and Dagenham,29752,0.54541785
Barking and Dagenham,29754,0.50722563
Barking and Dagenham,29776,0.45722926
Barking and Dagenham,29836,0.55228454
Barking and Dagenham,29973,0.45720065
Barking and Dagenham,3319,0.5710312
Barking and Dagenham,3320,0.56061447
Barking and Dagenham,3321,0.49468786
Barking and Dagenham,3322,0.53154147
Barking and Dagenham,33514,0.5362947
Barking and Dagenham,33515,0.6192892
Barking and Dagenham,33722,0.4850908
Barking and Dagenham,33954,0.5061528
Barking and Dagenham,33956,0.48071778
Barking and Dagenham,34726,0.52055407
Barking and Dagenham,34865,0.47682405
Barking and Dagenham,34866,0.4797201
Barking and Dagenham,34884,0.5181103
Barking and Dagenham,34996,0.6068114
Barking and Dagenham,34998,0.5625001
Barking and Dagenham,36559,0.506589
Barking and Dagenham,36651,0.4935078
Barking and Dagenham,37184,0.55178803
Barking and Dagenham,37185,0.5064945
Barking and Dagenham,37186,0.5427917
Barking and Dagenham,37187,0.5298394
Barking and Dagenham,37188,0.56438935
Barking and Dagenham,37189,0.5662076
Barking and Dagenham,37196,0.56113726
Barking and Dagenham,3816,0.4531943
Barking and Dagenham,4282,0.53448087
Barking and Dagenham,4283,0.52951556
Barking and Dagenham,4284,0.5106176
Barking and Dagenham,4285,0.5166483
Barking and Dagenham,4294,0.6297334
Barking and Dagenham,4295,0.5967086
Barking and Dagenham,4296,0.52011776
Barking and Dagenham,4298,0.51538557
Barking and Dagenham,4303,0.5663617
Barking and Dagenham,587,0.531588
Barking and Dagenham,9544,0.46492293
Barking and Dagenham,9548,0.44719023
Barking and Dagenham,9645,0.5136521
Barking and Dagenham,9646,0.45674425
Barking and Dagenham,9820,0.48592508
Barking and Dagenham,9821,0.47088987
Barking and Dagenham,9822,0.4469838
Barking and Dagenham,9823,0.45608446
Barking and Dagenham,BP071,0.4713129
Barking and Dagenham,BP096,0.450233
Barking and Dagenham,BP1105,0.51980585
Barking and Dagenham,BP1296,0.511794
Barking and Dagenham,BP133,0.5873298
Barking and Dagenham,BP147,0.49715844
Barking and Dagenham,BP155,0.49859017
Barking and Dagenham,BP164,0.4686035
Barking and Dagenham,BP1750,0.5688974
Barking and Dagenham,BP181,0.5021649
Barking and Dagenham,BP1920,0.45546255
Barking and Dagenham,BP1991,0.4287363
Barking and Dagenham,BP2154,0.48404366
Barking and Dagenham,BP2155,0.50291353
Barking and Dagenham,BP222,0.5321167
Barking and Dagenham,BP227,0.55707735
Barking and Dagenham,BP230,0.5201447
Barking and Dagenham,BP2661,0.5444829
Barking and Dagenham,BP270,0.4776858
Barking and Dagenham,BP2818,0.5010589
Barking and Dagenham,BP3038,0.5509644
Barking and Dagenham,BP3039,0.5571775
Barking and Dagenham,BP3042,0.54836094
Barking and Dagenham,BP3472,0.47708336
Barking and Dagenham,BP4055,0.5131195
Barking and Dagenham,BP4056,0.49260223
Barking and Dagenham,BP433,0.52053463
Barking and Dagenham,BP4381,0.52868366
Barking and Dagenham,BP4382,0.5319579
Barking and Dagenham,BP4426,0.51867557
Barking and Dagenham,BP4431,0.5352924
Barking and Dagenham,BP4609,0.47927937
Barking and Dagenham,BP5390,0.43850768
Barking and Dagenham,BP5397,0.52592254
Barking and Dagenham,BP5398,0.51825625
Barking and Dagenham,BP5400,0.54196835
Barking and Dagenham,BP5410,0.48280346
Barking and Dagenham,BP5411,0.4843504
Barking and Dagenham,BP5414,0.49468726
Barking and Dagenham,BP5415,0.48166996
Barking and Dagenham,BP5434,0.5145414
Barking and Dagenham,BP5546,0.49149993
Barking and Dagenham,BP5652,0.45431173
Barking and Dagenham,BP5653,0.46057722
Barking and Dagenham,BP5755,0.45721102
Barking and Dagenham,BP5799,0.5530794
Barking and Dagenham,BP6069,0.5873392
Barking and Dagenham,BP6070,0.5427965
Barking and Dagenham,BP6071,0.5258019
Barking and Dagenham,BP6072,0.53373027
Barking and Dagenham,BP6138,0.57211906
Barking and Dagenham,BP6283,0.501751
Barking and Dagenham,BP6284,0.5074581
Barking and Dagenham,BP6285,0.5087984
Barking and Dagenham,HC220,0.5327993
Barking and Dagenham,HC221,0.4906313
Barking and Dagenham,HC222,0.51957333
Barking and Dagenham,HC223,0.48661804
Barking and Dagenham,HC224,0.5708495
Barking and Dagenham,HC225,0.5336784
Barking and Dagenham,HC294,0.54812497
Barking and Dagenham,HC295,0.567551
Barking and Dagenham,HC296,0.5084534
Barking and Dagenham,LE134,0.52647954
Barking and Dagenham,LE171,0.45433053
Barking and Dagenham,LE195,0.5189293
Barking and Dagenham,LE217,0.55020463
Barking and Dagenham,LE218,0.5576336
Barking and Dagenham,LE222,0.49310037
Barking and Dagenham,LE223,0.49428573
Barking and Dagenham,LE224,0.5064094
Barking and Dagenham,OC628,0.52796257
Barking and Dagenham,R0067,0.49067545
Barking and Dagenham,R0068,0.51939446
Barking and Dagenham,R0175,0.54822105
Barking and Dagenham,R0320,0.52198756
Barking and Dagenham,R0338,0.4342113
Barking and Dagenham,R0590,0.5779086
Barking and Dagenham,15585,0.52912974
Barking and Dagenham,29139,0.51061445
Barking and Dagenham,29140,0.51136637
Barking and Dagenham,29756,0.46016887
Barking and Dagenham,33951,0.5338522
Barking and Dagenham,33952,0.5040311
Barking and Dagenham,33955,0.510913
Barking and Dagenham,34361,0.46161988
Barking and Dagenham,34843,0.4702494
Barking and Dagenham,35770,0.5052478
Barking and Dagenham,35771,0.47802824
Barking and Dagenham,4279,0.5329731
Barking and Dagenham,695,0.47942898
Barking and Dagenham,BP236,0.52358395
Barking and Dagenham,BP4052,0.5239878
Barking and Dagenham,BP4053,0.49859017
Barking and Dagenham,BP4054,0.4951733
Barking and Dagenham,BP4057,0.52386713
Barking and Dagenham,BP4191,0.5472444
Barking and Dagenham,BP4825,0.48107535
Barking and Dagenham,LE138,0.47506556
Barking and Dagenham,LE174,0.48188877
Barnet,1023,0.49664888
Barnet,10242,0.51260036
Barnet,11136,0.53960127
Barnet,11205,0.63230526
Barnet,11772,0.50051516
Barnet,11773,0.5006343
Barnet,1184,0.6328466
Barnet,11992,0.5123575
Barnet,12085,0.72515464
Barnet,12086,0.65138125
Barnet,12087,0.6385019
Barnet,12088,0.5921842
Barnet,12089,0.5956639
Barnet,12199,0.7125451
Barnet,12200,0.7256594
Barnet,12201,0.6968122
Barnet,12218,0.57861704
Barnet,12912,0.5241471
Barnet,12913,0.5895906
Barnet,12914,0.59235084
Barnet,1306,0.5087563
Barnet,1307,0.4890108
Barnet,1308,0.50071466
Barnet,1309,0.50214905
Barnet,1310,0.5124491
Barnet,1311,0.491147
Barnet,1329,0.5287739
Barnet,1330,0.5508422
Barnet,1333,0.6168646
Barnet,1334,0.6124557
Barnet,13422,0.58414197
Barnet,13423,0.5781629
Barnet,13424,0.64695704
Barnet,13425,0.63363415
Barnet,13507,0.5705682
Barnet,14130,0.49968418
Barnet,14131,0.3854276
Barnet,14461,0.48249784
Barnet,14462,0.48467904
Barnet,14632,0.57211334
Barnet,14636,0.575076
Barnet,1466,0.52523905
Barnet,14701,0.6869035
Barnet,14702,0.71200407
Barnet,14721,0.52325463
Barnet,14722,0.5174806
Barnet,14768,0.50501114
Barnet,14769,0.49704885
Barnet,14770,0.495092
Barnet,14772,0.6273999
Barnet,14773,0.58840555
Barnet,14774,0.6051378
Barnet,14775,0.5636536
Barnet,14776,0.6001502
Barnet,14777,0.56712663
Barnet,14778,0.56494355
Barnet,14779,0.5607629
Barnet,1478,0.5687991
Barnet,14869,0.49690083
Barnet,14870,0.53999
Barnet,14888,0.5337179
Barnet,14927,0.57945514
Barnet,15039,0.53689426
Barnet,15092,0.4790425
Barnet,15093,0.47403538
Barnet,15094,0.5051132
Barnet,15095,0.4883386
Barnet,15096,0.56311554
Barnet,15097,0.55255324
Barnet,15098,0.5747949
Barnet,15099,0.57639354
Barnet,1516,0.54447794
Barnet,15417,0.51886666
Barnet,15418,0.532253
Barnet,15419,0.5640535
Barnet,1542,0.5530709
Barnet,15420,0.54731613
Barnet,15421,0.5080005
Barnet,15422,0.52987367
Barnet,15424,0.48185572
Barnet,1543,0.54935765
Barnet,1555,0.5218405
Barnet,1556,0.52856565
Barnet,15606,0.6623
Barnet,15607,0.60651857
Barnet,15608,0.6094867
Barnet,15609,0.60949486
Barnet,15610,0.6640056
Barnet,15611,0.6547994
Barnet,15612,0.66432434
Barnet,15613,0.6770565
Barnet,15615,0.51476383
Barnet,15620,0.5425901
Barnet,15621,0.5472202
Barnet,15626,0.635528
Barnet,15627,0.6105677
Barnet,15628,0.64685
Barnet,15629,0.6523074
Barnet,15630,0.63841885
Barnet,15631,0.65078056
Barnet,15632,0.5481977
Barnet,15633,0.5534785
Barnet,15634,0.56360644
Barnet,15636,0.5747227
Barnet,15638,0.56736404
Barnet,15639,0.55349815
Barnet,15640,0.5717956
Barnet,15641,0.58122736
Barnet,15642,0.58120525
Barnet,15643,0.6095891
Barnet,15644,0.6436312
Barnet,15677,0.4784871
Barnet,15737,0.54826814
Barnet,15738,0.53730947
Barnet,15739,0.57841414
Barnet,15741,0.51968646
Barnet,15742,0.5183883
Barnet,15743,0.42382833
Barnet,15744,0.45321068
Barnet,15745,0.47703668
Barnet,15746,0.4421145
Barnet,15749,0.5748482
Barnet,15750,0.5942541
Barnet,15751,0.6433692
Barnet,15752,0.6447853
Barnet,15753,0.64506733
Barnet,15754,0.68681204
Barnet,15755,0.548688
Barnet,15756,0.56374973
Barnet,15757,0.5419831
Barnet,15758,0.5406825
Barnet,15759,0.5243513
Barnet,15760,0.49592483
Barnet,15912,0.46896973
Barnet,15913,0.46982244
Barnet,15914,0.4761554
Barnet,15915,0.48325884
Barnet,15916,0.5298166
Barnet,15917,0.53754216
Barnet,15918,0.49061427
Barnet,15919,0.5208945
Barnet,15920,0.5068222
Barnet,15921,0.49167082
Barnet,15922,0.5101002
Barnet,15923,0.5162396
Barnet,15924,0.5067615
Barnet,15925,0.5191006
Barnet,15926,0.5199806
Barnet,15927,0.5036007
Barnet,15928,0.5167672
Barnet,15929,0.48192686
Barnet,15930,0.5007356
Barnet,15932,0.5213953
Barnet,15933,0.55457026
Barnet,15934,0.57754177
Barnet,15951,0.4994652
Barnet,16028,0.58288664
Barnet,16029,0.5874896
Barnet,16067,0.50739056
Barnet,16068,0.5332867
Barnet,16069,0.5528461
Barnet,16070,0.54713994
Barnet,16071,0.5531006
Barnet,16072,0.5517456
Barnet,16073,0.534197
Barnet,16074,0.4848338
Barnet,16104,0.60892254
Barnet,16105,0.65348417
Barnet,16108,0.5567955
Barnet,16109,0.5689008
Barnet,16110,0.5511011
Barnet,16111,0.5395241
Barnet,16453,0.669216
Barnet,16454,0.66845655
Barnet,16455,0.67972034
Barnet,16457,0.70797765
Barnet,16458,0.7080894
Barnet,16459,0.58885807
Barnet,16460,0.598764
Barnet,16469,0.5554933
Barnet,16470,0.55205667
Barnet,16471,0.57058996
Barnet,16472,0.592357
Barnet,16473,0.5489122
Barnet,16474,0.5214455
Barnet,16475,0.5478963
Barnet,16487,0.52563506
Barnet,16488,0.5204521
Barnet,16489,0.5384978
Barnet,16490,0.5341709
Barnet,16491,0.58354574
Barnet,16492,0.58939976
Barnet,16493,0.48878452
Barnet,16494,0.49075267
Barnet,16495,0.47366986
Barnet,16496,0.46857008
Barnet,16497,0.4905566
Barnet,16498,0.48532197
Barnet,16500,0.48095515
Barnet,16501,0.47429708
Barnet,16503,0.5030721
Barnet,16504,0.4736335
Barnet,16505,0.44570962
Barnet,16506,0.41757244
Barnet,16507,0.48566788
Barnet,16508,0.4970135
Barnet,16509,0.51931703
Barnet,16510,0.5117092
Barnet,16511,0.49272144
Barnet,16512,0.50130737
Barnet,16519,0.5220802
Barnet,16520,0.5733087
Barnet,16521,0.46133214
Barnet,16523,0.51467997
Barnet,16524,0.51153064
Barnet,16525,0.62554693
Barnet,16526,0.6065931
Barnet,16527,0.51542675
Barnet,16528,0.48886234
Barnet,16529,0.45214766
Barnet,16530,0.44913453
Barnet,16531,0.48065662
Barnet,16532,0.49346212
Barnet,16533,0.5749147
Barnet,16536,0.5535318
Barnet,16537,0.56773454
Barnet,16538,0.47758985
Barnet,16539,0.50851053
Barnet,16540,0.51718265
Barnet,16571,0.6073311
Barnet,16572,0.60721266
Barnet,16973,0.63818264
Barnet,16975,0.6789668
Barnet,16990,0.552704
Barnet,16991,0.6400215
Barnet,16992,0.5899575
Barnet,16993,0.67419004
Barnet,16994,0.6509122
Barnet,16995,0.65041065
Barnet,16996,0.66851765
Barnet,17035,0.6598527
Barnet,17099,0.58403146
Barnet,17100,0.4997102
Barnet,17101,0.65214956
Barnet,17102,0.5274081
Barnet,17166,0.4965933
Barnet,17167,0.57752043
Barnet,17168,0.5796906
Barnet,17169,0.57208467
Barnet,17256,0.50620705
Barnet,17257,0.40065843
Barnet,17259,0.6466654
Barnet,17260,0.6473988
Barnet,17267,0.57072747
Barnet,17268,0.5835039
Barnet,17269,0.5892439
Barnet,17270,0.5561024
Barnet,17271,0.5819628
Barnet,17272,0.5544002
Barnet,17273,0.5152713
Barnet,1731,0.55567837
Barnet,17469,0.5722107
Barnet,17470,0.559268
Barnet,17473,0.51306623
Barnet,17580,0.56072617
Barnet,17718,0.51788086
Barnet,17719,0.4832936
Barnet,17768,0.5286299
Barnet,17770,0.5541381
Barnet,17771,0.5691633
Barnet,18099,0.67695606
Barnet,18100,0.67556524
Barnet,18102,0.6264443
Barnet,18104,0.6952183
Barnet,18105,0.69099194
Barnet,18106,0.6946096
Barnet,18107,0.70182484
Barnet,18108,0.68084055
Barnet,18109,0.7293228
Barnet,18110,0.7282195
Barnet,18111,0.7411011
Barnet,18112,0.5871164
Barnet,18113,0.59960157
Barnet,18114,0.5923013
Barnet,18115,0.58976626
Barnet,18116,0.6075314
Barnet,18117,0.5929839
Barnet,18118,0.57453066
Barnet,18119,0.5506142
Barnet,18120,0.5715248
Barnet,18121,0.5829618
Barnet,18122,0.59629047
Barnet,18729,0.5768999
Barnet,18730,0.6285488
Barnet,18912,0.5288146
Barnet,19142,0.65011704
Barnet,19143,0.71139854
Barnet,19144,0.63274854
Barnet,19145,0.6955359
Barnet,19146,0.6931113
Barnet,19147,0.7487077
Barnet,19148,0.7473628
Barnet,19149,0.6744207
Barnet,19150,0.73441386
Barnet,19151,0.66548896
Barnet,19152,0.6655761
Barnet,19153,0.6416044
Barnet,19154,0.6434041
Barnet,19155,0.62653255
Barnet,19156,0.64600366
Barnet,19159,0.674655
Barnet,19160,0.6574924
Barnet,19163,0.65593064
Barnet,19164,0.65598476
Barnet,19165,0.666841
Barnet,19166,0.66837496
Barnet,19167,0.6203189
Barnet,19168,0.6177975
Barnet,19169,0.6481515
Barnet,19170,0.6512499
Barnet,19171,0.60854965
Barnet,19172,0.6084721
Barnet,19173,0.6244173
Barnet,19174,0.62047774
Barnet,19175,0.49800292
Barnet,19176,0.4938138
Barnet,19215,0.7140935
Barnet,19216,0.71743304
Barnet,19264,0.5335646
Barnet,19541,0.5108776
Barnet,19606,0.46788135
Barnet,19607,0.512194
Barnet,19608,0.5165078
Barnet,19609,0.4833524
Barnet,19610,0.48906174
Barnet,19611,0.47373095
Barnet,19612,0.44476944
Barnet,19613,0.54881907
Barnet,19614,0.5163145
Barnet,19615,0.4927234
Barnet,19616,0.49078676
Barnet,20145,0.4900477
Barnet,20146,0.48822626
Barnet,20282,0.5331924
Barnet,20313,0.5587756
Barnet,20363,0.6485743
Barnet,20364,0.6487977
Barnet,20424,0.61003447
Barnet,20498,0.51150125
Barnet,2071,0.6397254
Barnet,2072,0.6567992
Barnet,20800,0.579745
Barnet,20857,0.5666106
Barnet,20858,0.55676913
Barnet,20859,0.5570999
Barnet,20860,0.5634197
Barnet,20861,0.6917415
Barnet,20862,0.691679
Barnet,20863,0.6152012
Barnet,20864,0.6388193
Barnet,20865,0.6595943
Barnet,20866,0.6400669
Barnet,20909,0.4698661
Barnet,20910,0.4805115
Barnet,20928,0.49824467
Barnet,20929,0.49695623
Barnet,2294,0.52444595
Barnet,2295,0.5141677
Barnet,2297,0.4799634
Barnet,2298,0.50659645
Barnet,2299,0.51008177
Barnet,23435,0.63060385
Barnet,25027,0.4867799
Barnet,25042,0.42571896
Barnet,25043,0.3959192
Barnet,25044,0.61312926
Barnet,25045,0.6046746
Barnet,25046,0.62809676
Barnet,25048,0.6196763
Barnet,25072,0.5083633
Barnet,25080,0.5779513
Barnet,25102,0.5824669
Barnet,25118,0.5382013
Barnet,25841,0.528439
Barnet,25842,0.52590317
Barnet,25964,0.60842574
Barnet,25965,0.5889879
Barnet,25966,0.59582925
Barnet,25967,0.5823273
Barnet,25968,0.5893501
Barnet,25975,0.559399
Barnet,26154,0.59382135
Barnet,26155,0.58570063
Barnet,26156,0.6482647
Barnet,26157,0.65794265
Barnet,26158,0.6146209
Barnet,26159,0.64100057
Barnet,26160,0.59835285
Barnet,26161,0.5698836
Barnet,26163,0.5683146
Barnet,26165,0.5781649
Barnet,26166,0.5704616
Barnet,26167,0.6004467
Barnet,26168,0.602334
Barnet,26169,0.609949
Barnet,26170,0.61587346
