STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
10799,BIRDHURST ROAD / SOUTH CROYDON STATION,120.77669,165
1080,NEWINGTON GREEN,1913.10001,442
10804,CARLTON ROAD,27.85621,78
10806,TWIN BRIDGES BUSINESS PARK,142.74748,151
10807,CARLTON ROAD,26.51293,72
10808,CROHAM ROAD,28.793539999999997,149
1081,ALBION ROAD,181.45725,177
10811,ELECTRIC HOUSE,243.45811,327
10813,WHITGIFT CENTRE,1476.77601,535
10814,WHITGIFT CENTRE,1540.15799,665
10816,PURLEY WAY / WADDON STATION,171.44218,159
10817,PURLEY WAY / WADDON STATION,90.10165,158
1082,GREEN LANES,251.72436,173
10820,PURLEY OAKS STATION,184.66731,326
10821,PURLEY OAKS STATION,391.2278,318
10824,PURLEY / DOWNLANDS PRECINCT,1320.31739,426
10825,CHRISTCHURCH ROAD / PURLEY HOSPITAL,331.19234,363
10828,COOMBE ROAD,1544.25216,718
10829,COOMBE ROAD,442.4282,716
10833,PASTEUR GARDENS,199.49582,243
10834,PASTEUR GARDENS,391.6082,318
10835,EMPIRE PARADE,357.5079,323
10836,EMPIRE PARADE,501.64674,318
10839,CHURCH HILL ROAD,239.20318,89
1084,LIVERPOOL ROAD,347.61069,441
10840,CHURCH HILL ROAD,115.57483,174
10852,PARK AVENUE,114.13297,99
10856,ALLIANCE ROAD,2.8738499999999996,156
10860,SOUTHWOOD AVENUE,160.68007,285
10864,HARINGEY CIVIC CENTRE,447.09231,418
10866,HARINGEY CIVIC CENTRE,132.5669,413
10868,CANNING CRESCENT,333.21628,337
1087,CLAPHAM SOUTH STATION,374.03961,72
10871,BERKSHIRE GARDENS,1356.88217,337
10872,BERKSHIRE GARDENS,404.37139,344
10875,TOTTENHALL ROAD,1926.8964,337
10878,BROOMFIELD LANE,179.16523,185
10879,BROOMFIELD LANE,197.05377,177
1088,CLAPHAM SOUTH STATION,310.6756,72
10880,PALMERS GREEN / THE TRIANGLE,198.95047,101
10881,LODGE DRIVE,816.48396,170
10885,FOX LANE,329.5965,173
10888,ST MONICA'S CHURCH,103.90432,101
10889,BOURNE HILL,639.03449,172
1089,PARK HILL,534.71537,357
10890,MEADOWCROFT ROAD,49.11538,101
10893,MEADOWCROFT ROAD,200.76101,101
109,HYDE PARK CORNER STATION,798.47699,292
10900,STATION ROAD,183.0918,100
10901,BOSTON MANOR STATION,572.46074,163
10906,GREEN DRAGON LANE,173.06613,177
10910,SOLNA ROAD,99.03412,101
10911,SOLNA ROAD,45.922779999999996,101
10913,CONIFER GARDENS,48.19508,180
10914,CONIFER GARDENS,41.96864,179
10919,BUSH HILL,42.80981,180
10920,BUSH HILL,53.85743,179
10921,PARK CRESCENT,107.35565,180
10922,PARK CRESCENT,165.23499,179
10925,CECIL ROAD / ST ANNES SCHOOL,197.9736,227
10926,CECIL ROAD / ST ANNES SCHOOL,516.10542,239
10927,ENFIELD TOWN / GENOTIN ROAD,1585.15528,240
10928,ENFIELD TOWN / CHURCH STREET,1074.34156,231
10942,TOTTENHAM POLICE STATION,1505.42279,862
10944,TOTTENHAM TOWN HALL,2138.85361,792
10948,WOOD GREEN CROWN COURT,430.99371,261
1095,WESTMINSTER ACADEMY / CIRENCESTER STREET,538.90084,196
10951,WOOD GREEN CROWN COURT,142.7056,259
10952,PERTH ROAD,278.5899,181
10953,PERTH ROAD,447.5947,259
10954,GLADSTONE AVENUE,210.73769,180
10955,MORLEY AVENUE,211.94404,178
10957,GLADSTONE AVENUE,624.66948,178
10958,WESTBURY AVENUE / LORDSHIP LANE,606.2567,270
1096,WESTMINSTER ACADEMY / CIRENCESTER STREET,917.17575,192
10960,THE ROUNDWAY / WEST ARM,387.5273,190
10961,THE ROUNDWAY / WEST ARM,583.81766,185
10962,WALTHEOF AVENUE,347.29485999999997,185
10963,WALTHEOF AVENUE,286.81876,189
10966,AWLFIELD AVENUE,406.9004,186
10967,AWLFIELD AVENUE,241.97579,188
10968,MOUNT PLEASANT ROAD,768.93602,186
10969,MOUNT PLEASANT ROAD,730.6654599999999,188
10973,BRUCE CASTLE PARK & MUSEUM,223.90704,186
10974,ELMHURST ROAD,308.09539,263
10975,ELMHURST ROAD,294.428,187
10978,BRUCE GROVE STATION,379.32212,263
10979,BRUCE GROVE STATION,764.13779,262
1098,PARNELL ROAD,435.27795,103
1099,PARNELL ROAD,50.93279,101
110,CATFORD ROAD / LEWISHAM TOWN HALL,2116.18035,628
1100,BOUNDS GREEN STATION,634.0528400000001,171
1101,BOUNDS GREEN STATION,926.12531,169
1103,TAVISTOCK SQUARE,758.7381799999999,256
1104,PARSONS GREEN LANE / FULHAM LIBRARY,399.09521,217
1105,PARSONS GREEN LANE / FULHAM LIBRARY,229.89877,221
1106,MUNSTER ROAD,414.20581,173
1107,MUNSTER ROAD,103.47911,172
1108,HERNE HILL ROAD,321.20683,249
1109,HERNE HILL ROAD,142.2451,172
11093,THE GREEN,104.2052,66
11094,MERLE AVENUE,180.187,127
11097,SHRUBS ROAD,1.64309,68
11098,SHRUBS ROAD,1.4202899999999996,67
1111,MIDDLETON ROAD,528.66481,282
11116,MYDDELTON ROAD,388.40783,84
11118,ARDLEIGH GREEN SCHOOL,158.18979,154
11119,ARDLEIGH GREEN SCHOOL,734.91698,151
11121,BEXLEYHEATH CLOCK TOWER,4972.68445,534
11126,SHREWSBURY ROAD,363.68798,245
11127,THORNHILL ROAD,113.56893,209
11128,THORNHILL ROAD,396.05377,216
1113,SHACKLEWELL LANE,484.28812,364
11133,LAKESIDE WAY,1362.55367,400
11134,WEMBLEY ARENA,300.92412,248
11135,EDGWARE ROAD / THE HYDE,490.29088,176
11136,EDGWARE ROAD / THE HYDE,828.79739,178
11137,RUVIGNY GARDENS,192.07756,338
11138,RUVIGNY GARDENS,75.90826,335
11139,FESTING ROAD,335.12749,331
1114,GREENWOOD ROAD,189.41812,301
11140,FESTING ROAD,96.89381999999999,336
11141,COMMONDALE,213.68473,328
11142,COMMONDALE,183.11209,338
11143,PUTNEY EXCHANGE,1705.72745,591
11144,PUTNEY EXCHANGE,2333.6326,587
11145,SHEFFIELD TERRACE,268.78709,520
11146,SHEFFIELD TERRACE,518.63461,530
11148,GLOUCESTER ROAD STATION,280.04561,81
11149,PALACE GATE,94.59669,80
1115,GREENWOOD ROAD,415.84735,288
11150,PALACE GATE,138.07135,81
11151,STANHOPE GARDENS,45.286,81
11152,STANHOPE GARDENS,219.02509,81
11154,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,333.37548,346
11155,CHELSEA AND WESTMINSTER HOSPITAL,1779.21988,250
11156,HORTENSIA ROAD,237.52918,250
1116,STOKE NEWINGTON STATION,1358.22179,542
11160,REDCLIFFE SQUARE,72.56262,173
11162,EARLS COURT ROAD / OLD BROMPTON ROAD,324.05922,359
11164,EARLS COURT STATION,2675.79957,360
11165,SCARSDALE VILLAS,257.66746,170
11166,PEMBROKE ROAD,46.178309999999996,169
11169,GLOUCESTER ROAD,40.72761,155
1117,MYDDELTON ROAD,176.35288,82
11170,GLOUCESTER ROAD,104.14474,155
11171,BOLTON GARDENS / BROMPTON LIBRARY,118.47574,155
11175,BROMPTON SQUARE,652.6402400000001,357
11178,VICTORIA AND ALBERT MUSEUM,720.95264,361
11179,VICTORIA AND ALBERT MUSEUM,224.67319,359
11184,COLLINGHAM ROAD / SAINSBURY'S,285.55929000000003,107
11187,CROMWELL HOSPITAL,86.61577,117
11195,WARWICK GARDENS,389.09366,440
11196,HOLLAND GARDENS,190.4261,154
11197,LOWER ADDISON GARDENS,11.904149999999998,154
11205,PARK GROVE,86.76466,82
11207,ALEXANDRA PALACE GARDEN CENTRE,133.00454,82
11208,ALEXANDRA PALACE ICE RINK,124.33404,82
11210,ALEXANDRA PALACE PALM COURT,113.21777999999999,82
11211,ALEXANDRA PALACE GARDEN CENTRE,227.58004,81
11212,ALEXANDRA PALACE PARK,8.05635,81
11213,ALEXANDRA PALACE ICE RINK,209.37492,81
11215,ALEXANDRA PALACE PALM COURT,83.77006,81
