config,seeds,n_seeds,borough,n_test,model,WMAPE,RMSE,MAE
ai23_only,42,1,Islington,349,GATv2,0.8142,781.503,423.008
ai23_only,42,1,Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
ai23_only,42,1,Kensington and Chelsea,260,RF,0.7586,534.803,328.879
ai23_only,42,1,Kensington and Chelsea,260,MLP,0.7645,552.289,331.439
ai23_only,42,1,Kensington and Chelsea,260,GATv2,0.7862,572.027,340.823
ai23_only,42,1,Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
ai23_only,42,1,Kingston upon Thames,391,RF,0.8351,577.109,194.584
ai23_only,42,1,Kingston upon Thames,391,MLP,0.8357,578.429,194.721
ai23_only,42,1,Kingston upon Thames,391,GATv2,0.8595,586.489,200.261
ai23_only,42,1,Lambeth,577,HistAvg,0.8618,942.451,428.607
ai23_only,42,1,Lambeth,577,RF,0.8275,953.206,411.575
ai23_only,42,1,Lambeth,577,MLP,0.8218,955.826,408.743
ai23_only,42,1,Lambeth,577,GATv2,0.834,971.479,414.791
ai23_only,42,1,Lewisham,609,HistAvg,0.9859,512.677,290.318
ai23_only,42,1,Lewisham,609,RF,0.8078,534.462,237.876
ai23_only,42,1,Lewisham,609,MLP,0.8075,535.186,237.768
ai23_only,42,1,Lewisham,609,GATv2,0.823,547.382,242.329
ai23_only,42,1,Merton,457,HistAvg,1.0347,493.948,268.128
ai23_only,42,1,Merton,457,RF,0.7969,502.03,206.505
ai23_only,42,1,Merton,457,MLP,0.7883,498.665,204.271
ai23_only,42,1,Merton,457,GATv2,0.7897,503.244,204.628
ai23_only,42,1,Newham,465,HistAvg,0.8322,506.085,319.074
ai23_only,42,1,Newham,465,RF,0.7962,542.463,305.25
ai23_only,42,1,Newham,465,MLP,0.7862,535.159,301.42
ai23_only,42,1,Newham,465,GATv2,0.7907,544.761,303.161
ai23_only,42,1,Redbridge,539,HistAvg,1.1018,465.014,271.086
ai23_only,42,1,Redbridge,539,RF,0.7946,455.294,195.503
ai23_only,42,1,Redbridge,539,MLP,0.8092,475.884,199.1
ai23_only,42,1,Redbridge,539,GATv2,0.8345,487.976,205.303
ai23_only,42,1,Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
ai23_only,42,1,Richmond upon Thames,484,RF,0.7997,336.764,148.449
ai23_only,42,1,Richmond upon Thames,484,MLP,0.8078,338.631,149.949
ai23_only,42,1,Richmond upon Thames,484,GATv2,0.8043,344.876,149.3
ai23_only,42,1,Southwark,583,HistAvg,0.8601,854.25,414.185
ai23_only,42,1,Southwark,583,RF,0.8174,880.177,393.599
ai23_only,42,1,Southwark,583,MLP,0.8241,876.642,396.852
ai23_only,42,1,Southwark,583,GATv2,0.8431,899.319,406.017
ai23_only,42,1,Sutton,421,HistAvg,1.4868,309.593,241.96
ai23_only,42,1,Sutton,421,RF,0.8278,287.035,134.712
ai23_only,42,1,Sutton,421,MLP,0.8251,289.209,134.281
ai23_only,42,1,Sutton,421,GATv2,0.8311,293.745,135.254
ai23_only,42,1,Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
ai23_only,42,1,Tower Hamlets,381,RF,0.8118,407.99,230.769
ai23_only,42,1,Tower Hamlets,381,MLP,0.8395,392.461,238.669
ai23_only,42,1,Tower Hamlets,381,GATv2,0.8116,397.234,230.72
ai23_only,42,1,Waltham Forest,492,HistAvg,0.8879,510.268,280.825
ai23_only,42,1,Waltham Forest,492,RF,0.8106,543.906,256.401
ai23_only,42,1,Waltham Forest,492,MLP,0.7959,534.532,251.747
ai23_only,42,1,Waltham Forest,492,GATv2,0.8132,544.118,257.197
ai23_only,42,1,Wandsworth,481,HistAvg,0.8146,681.466,346.179
ai23_only,42,1,Wandsworth,481,RF,0.7917,709.705,336.46
ai23_only,42,1,Wandsworth,481,MLP,0.7971,706.248,338.765
ai23_only,42,1,Wandsworth,481,GATv2,0.8231,727.543,349.798
ai23_only,42,1,Westminster,419,HistAvg,0.763,912.576,497.587
ai23_only,42,1,Westminster,419,RF,0.7772,933.545,506.828
ai23_only,42,1,Westminster,419,MLP,0.7753,927.353,505.621
ai23_only,42,1,Westminster,419,GATv2,0.79,938.418,515.169
ai23_only_fastbaselines,42,1,Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
ai23_only_fastbaselines,42,1,Barking and Dagenham,364,MLR,0.789,590.127,232.346
ai23_only_fastbaselines,42,1,Barking and Dagenham,364,RF,0.7735,574.036,227.786
ai23_only_fastbaselines,42,1,Barking and Dagenham,364,XGBoost,0.811,574.886,238.826
ai23_only_fastbaselines,42,1,Barnet,993,HistAvg,1.2395,379.816,265.098
ai23_only_fastbaselines,42,1,Barnet,993,MLR,0.8346,372.324,178.488
ai23_only_fastbaselines,42,1,Barnet,993,RF,0.8494,374.703,181.657
ai23_only_fastbaselines,42,1,Barnet,993,XGBoost,0.8442,379.872,180.547
ai23_only_fastbaselines,42,1,Bexley,672,HistAvg,1.6969,388.739,256.754
ai23_only_fastbaselines,42,1,Bexley,672,MLR,0.8305,369.486,125.665
ai23_only_fastbaselines,42,1,Bexley,672,RF,0.8251,363.935,124.85
ai23_only_fastbaselines,42,1,Bexley,672,XGBoost,0.8251,367.113,124.842
ai23_only_fastbaselines,42,1,Brent,575,HistAvg,0.8181,541.496,311.062
ai23_only_fastbaselines,42,1,Brent,575,MLR,0.7952,578.711,302.351
ai23_only_fastbaselines,42,1,Brent,575,RF,0.7982,578.167,303.487
ai23_only_fastbaselines,42,1,Brent,575,XGBoost,0.787,569.184,299.239
ai23_only_fastbaselines,42,1,Bromley,1179,HistAvg,2.6075,309.255,265.171
ai23_only_fastbaselines,42,1,Bromley,1179,MLR,0.8834,228.543,89.839
ai23_only_fastbaselines,42,1,Bromley,1179,RF,0.8724,225.717,88.721
ai23_only_fastbaselines,42,1,Bromley,1179,XGBoost,0.8811,226.108,89.607
ai23_only_fastbaselines,42,1,Camden,424,HistAvg,0.8666,609.429,349.975
ai23_only_fastbaselines,42,1,Camden,424,MLR,0.7839,584.501,316.562
ai23_only_fastbaselines,42,1,Camden,424,RF,0.8023,585.818,323.991
ai23_only_fastbaselines,42,1,Camden,424,XGBoost,0.8026,569.818,324.107
ai23_only_fastbaselines,42,1,City of London,101,HistAvg,0.798,914.764,520.033
ai23_only_fastbaselines,42,1,City of London,101,MLR,0.7934,877.24,517.046
ai23_only_fastbaselines,42,1,City of London,101,RF,0.8273,953.623,539.144
ai23_only_fastbaselines,42,1,City of London,101,XGBoost,0.8285,960.509,539.897
ai23_only_fastbaselines,42,1,Croydon,1019,HistAvg,1.5477,343.611,254.841
ai23_only_fastbaselines,42,1,Croydon,1019,MLR,0.7892,321.452,129.951
ai23_only_fastbaselines,42,1,Croydon,1019,RF,0.788,318.48,129.751
ai23_only_fastbaselines,42,1,Croydon,1019,XGBoost,0.801,323.558,131.884
ai23_only_fastbaselines,42,1,Ealing,683,HistAvg,0.9636,570.286,318.126
ai23_only_fastbaselines,42,1,Ealing,683,MLR,0.8329,590.768,274.991
ai23_only_fastbaselines,42,1,Ealing,683,RF,0.8277,582.868,273.271
ai23_only_fastbaselines,42,1,Ealing,683,XGBoost,0.825,575.415,272.377
ai23_only_fastbaselines,42,1,Enfield,707,HistAvg,1.1452,433.336,276.391
ai23_only_fastbaselines,42,1,Enfield,707,MLR,0.8466,443.482,204.325
ai23_only_fastbaselines,42,1,Enfield,707,RF,0.8592,451.219,207.37
ai23_only_fastbaselines,42,1,Enfield,707,XGBoost,0.8723,457.533,210.544
ai23_only_fastbaselines,42,1,Greenwich,659,HistAvg,0.9994,596.257,285.229
ai23_only_fastbaselines,42,1,Greenwich,659,MLR,0.8368,621.09,238.824
ai23_only_fastbaselines,42,1,Greenwich,659,RF,0.8328,618.225,237.673
ai23_only_fastbaselines,42,1,Greenwich,659,XGBoost,0.831,619.387,237.157
ai23_only_fastbaselines,42,1,Hackney,442,HistAvg,0.8267,512.63,325.701
ai23_only_fastbaselines,42,1,Hackney,442,MLR,0.7701,509.399,303.425
ai23_only_fastbaselines,42,1,Hackney,442,RF,0.792,531.132,312.028
ai23_only_fastbaselines,42,1,Hackney,442,XGBoost,0.795,529.847,313.235
ai23_only_fastbaselines,42,1,Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
ai23_only_fastbaselines,42,1,Hammersmith and Fulham,276,MLR,0.7943,775.336,376.599
ai23_only_fastbaselines,42,1,Hammersmith and Fulham,276,RF,0.8006,777.795,379.608
ai23_only_fastbaselines,42,1,Hammersmith and Fulham,276,XGBoost,0.8105,783.174,384.271
ai23_only_fastbaselines,42,1,Haringey,461,HistAvg,0.8402,761.461,380.81
ai23_only_fastbaselines,42,1,Haringey,461,MLR,0.793,756.355,359.434
ai23_only_fastbaselines,42,1,Haringey,461,RF,0.8076,783.969,366.042
ai23_only_fastbaselines,42,1,Haringey,461,XGBoost,0.8056,782.039,365.136
ai23_only_fastbaselines,42,1,Harrow,432,HistAvg,1.0881,369.502,256.035
ai23_only_fastbaselines,42,1,Harrow,432,MLR,0.7976,384.833,187.693
ai23_only_fastbaselines,42,1,Harrow,432,RF,0.7934,385.883,186.695
ai23_only_fastbaselines,42,1,Harrow,432,XGBoost,0.7908,382.749,186.091
ai23_only_fastbaselines,42,1,Havering,691,HistAvg,1.6017,456.404,268.356
ai23_only_fastbaselines,42,1,Havering,691,MLR,0.8533,447.235,142.969
ai23_only_fastbaselines,42,1,Havering,691,RF,0.8484,440.342,142.136
ai23_only_fastbaselines,42,1,Havering,691,XGBoost,0.8848,441.37,148.241
ai23_only_fastbaselines,42,1,Hillingdon,706,HistAvg,1.3003,592.939,309.8
ai23_only_fastbaselines,42,1,Hillingdon,706,MLR,0.8737,610.569,208.144
ai23_only_fastbaselines,42,1,Hillingdon,706,RF,0.8546,596.748,203.602
ai23_only_fastbaselines,42,1,Hillingdon,706,XGBoost,0.9016,587.494,214.798
ai23_only_fastbaselines,42,1,Hounslow,651,HistAvg,1.054,427.703,263.162
ai23_only_fastbaselines,42,1,Hounslow,651,MLR,0.8225,445.671,205.367
ai23_only_fastbaselines,42,1,Hounslow,651,RF,0.8093,438.048,202.084
ai23_only_fastbaselines,42,1,Hounslow,651,XGBoost,0.8081,429.96,201.761
ai23_only_fastbaselines,42,1,Islington,349,HistAvg,0.7866,736.434,408.65
ai23_only_fastbaselines,42,1,Islington,349,MLR,0.7777,736.954,404.016
ai23_only_fastbaselines,42,1,Islington,349,RF,0.7987,758.93,414.964
ai23_only_fastbaselines,42,1,Islington,349,XGBoost,0.7938,755.251,412.384
ai23_only_fastbaselines,42,1,Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
ai23_only_fastbaselines,42,1,Kensington and Chelsea,260,MLR,0.767,550.667,332.499
ai23_only_fastbaselines,42,1,Kensington and Chelsea,260,RF,0.7608,535.229,329.823
ai23_only_fastbaselines,42,1,Kensington and Chelsea,260,XGBoost,0.7611,526.662,329.952
ai23_only_fastbaselines,42,1,Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
ai23_only_fastbaselines,42,1,Kingston upon Thames,391,MLR,0.8468,582.398,197.312
ai23_only_fastbaselines,42,1,Kingston upon Thames,391,RF,0.8345,577.797,194.438
ai23_only_fastbaselines,42,1,Kingston upon Thames,391,XGBoost,0.8477,583.766,197.517
ai23_only_fastbaselines,42,1,Lambeth,577,HistAvg,0.8618,942.451,428.607
ai23_only_fastbaselines,42,1,Lambeth,577,MLR,0.8225,947.18,409.086
ai23_only_fastbaselines,42,1,Lambeth,577,RF,0.8273,952.409,411.464
ai23_only_fastbaselines,42,1,Lambeth,577,XGBoost,0.835,954.717,415.294
ai23_only_fastbaselines,42,1,Lewisham,609,HistAvg,0.9859,512.677,290.318
ai23_only_fastbaselines,42,1,Lewisham,609,MLR,0.8118,538.764,239.04
ai23_only_fastbaselines,42,1,Lewisham,609,RF,0.8088,534.586,238.167
ai23_only_fastbaselines,42,1,Lewisham,609,XGBoost,0.8134,540.433,239.515
ai23_only_fastbaselines,42,1,Merton,457,HistAvg,1.0347,493.948,268.128
ai23_only_fastbaselines,42,1,Merton,457,MLR,0.7901,499.344,204.732
ai23_only_fastbaselines,42,1,Merton,457,RF,0.7947,503.194,205.94
ai23_only_fastbaselines,42,1,Merton,457,XGBoost,0.8053,499.057,208.671
ai23_only_fastbaselines,42,1,Newham,465,HistAvg,0.8322,506.085,319.074
ai23_only_fastbaselines,42,1,Newham,465,MLR,0.7903,537.467,302.996
ai23_only_fastbaselines,42,1,Newham,465,RF,0.8008,544.232,307.029
ai23_only_fastbaselines,42,1,Newham,465,XGBoost,0.8017,547.906,307.355
ai23_only_fastbaselines,42,1,Redbridge,539,HistAvg,1.1018,465.014,271.086
ai23_only_fastbaselines,42,1,Redbridge,539,MLR,0.817,480.092,201.015
ai23_only_fastbaselines,42,1,Redbridge,539,RF,0.7935,455.285,195.228
ai23_only_fastbaselines,42,1,Redbridge,539,XGBoost,0.7985,457.578,196.452
ai23_only_fastbaselines,42,1,Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
ai23_only_fastbaselines,42,1,Richmond upon Thames,484,MLR,0.8106,343.627,150.479
ai23_only_fastbaselines,42,1,Richmond upon Thames,484,RF,0.7989,336.905,148.298
ai23_only_fastbaselines,42,1,Richmond upon Thames,484,XGBoost,0.7966,328.467,147.883
ai23_only_fastbaselines,42,1,Southwark,583,HistAvg,0.8601,854.25,414.185
ai23_only_fastbaselines,42,1,Southwark,583,MLR,0.8242,867.56,396.891
ai23_only_fastbaselines,42,1,Southwark,583,RF,0.8184,881.452,394.115
ai23_only_fastbaselines,42,1,Southwark,583,XGBoost,0.8323,882.959,400.817
ai23_only_fastbaselines,42,1,Sutton,421,HistAvg,1.4868,309.593,241.96
ai23_only_fastbaselines,42,1,Sutton,421,MLR,0.8214,289.481,133.682
ai23_only_fastbaselines,42,1,Sutton,421,RF,0.8309,287.985,135.215
ai23_only_fastbaselines,42,1,Sutton,421,XGBoost,0.8416,285.87,136.97
ai23_only_fastbaselines,42,1,Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
ai23_only_fastbaselines,42,1,Tower Hamlets,381,MLR,0.8507,389.167,241.848
ai23_only_fastbaselines,42,1,Tower Hamlets,381,RF,0.8143,407.8,231.48
ai23_only_fastbaselines,42,1,Tower Hamlets,381,XGBoost,0.8357,414.461,237.585
ai23_only_fastbaselines,42,1,Waltham Forest,492,HistAvg,0.8879,510.268,280.825
ai23_only_fastbaselines,42,1,Waltham Forest,492,MLR,0.7889,528.75,249.535
ai23_only_fastbaselines,42,1,Waltham Forest,492,RF,0.8113,543.913,256.619
ai23_only_fastbaselines,42,1,Waltham Forest,492,XGBoost,0.8591,562.827,271.719
ai23_only_fastbaselines,42,1,Wandsworth,481,HistAvg,0.8146,681.466,346.179
ai23_only_fastbaselines,42,1,Wandsworth,481,MLR,0.7955,702.443,338.057
ai23_only_fastbaselines,42,1,Wandsworth,481,RF,0.7913,710.858,336.271
ai23_only_fastbaselines,42,1,Wandsworth,481,XGBoost,0.7873,704.925,334.6
ai23_only_fastbaselines,42,1,Westminster,419,HistAvg,0.763,912.576,497.587
ai23_only_fastbaselines,42,1,Westminster,419,MLR,0.7625,909.474,497.293
ai23_only_fastbaselines,42,1,Westminster,419,RF,0.7761,933.239,506.142
ai23_only_fastbaselines,42,1,Westminster,419,XGBoost,0.7679,916.817,500.758
ai23_osm,42,1,Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
ai23_osm,42,1,Barking and Dagenham,364,RF,0.7577,549.517,223.131
ai23_osm,42,1,Barking and Dagenham,364,MLP,0.7807,584.806,229.899
ai23_osm,42,1,Barking and Dagenham,364,GATv2,0.8107,598.893,238.739
ai23_osm,42,1,Barnet,993,HistAvg,1.2395,379.816,265.098
ai23_osm,42,1,Barnet,993,RF,0.8271,371.33,176.882
ai23_osm,42,1,Barnet,993,MLP,0.8146,370.155,174.211
ai23_osm,42,1,Barnet,993,GATv2,0.817,377.112,174.72
ai23_osm,42,1,Bexley,672,HistAvg,1.6969,388.739,256.754
ai23_osm,42,1,Bexley,672,RF,0.8124,358.14,122.92
ai23_osm,42,1,Bexley,672,MLP,0.8225,364.016,124.456
ai23_osm,42,1,Bexley,672,GATv2,0.8169,362.614,123.603
ai23_osm,42,1,Brent,575,HistAvg,0.8181,541.496,311.062
ai23_osm,42,1,Brent,575,RF,0.8042,580.765,305.774
ai23_osm,42,1,Brent,575,MLP,0.7948,578.086,302.205
ai23_osm,42,1,Brent,575,GATv2,0.8139,589.066,309.453
ai23_osm,42,1,Bromley,1179,HistAvg,2.6075,309.255,265.171
ai23_osm,42,1,Bromley,1179,RF,0.8418,221.511,85.61
ai23_osm,42,1,Bromley,1179,MLP,0.838,221.537,85.22
ai23_osm,42,1,Bromley,1179,GATv2,0.8256,226.021,83.956
ai23_osm,42,1,Camden,424,HistAvg,0.8666,609.429,349.975
ai23_osm,42,1,Camden,424,RF,0.756,564.948,305.31
ai23_osm,42,1,Camden,424,MLP,0.7714,586.963,311.515
ai23_osm,42,1,Camden,424,GATv2,0.7561,561.776,305.327
ai23_osm,42,1,City of London,101,HistAvg,0.798,914.764,520.033
ai23_osm,42,1,City of London,101,RF,0.8258,954.533,538.123
ai23_osm,42,1,City of London,101,MLP,0.8014,914.865,522.253
ai23_osm,42,1,City of London,101,GATv2,0.8114,929.966,528.793
ai23_osm,42,1,Croydon,1019,HistAvg,1.5477,343.611,254.841
ai23_osm,42,1,Croydon,1019,RF,0.7926,318.137,130.504
ai23_osm,42,1,Croydon,1019,MLP,0.7939,320.058,130.718
ai23_osm,42,1,Croydon,1019,GATv2,0.8156,327.479,134.303
ai23_osm,42,1,Ealing,683,HistAvg,0.9636,570.286,318.126
ai23_osm,42,1,Ealing,683,RF,0.8159,586.218,269.373
ai23_osm,42,1,Ealing,683,MLP,0.8096,579.271,267.296
ai23_osm,42,1,Ealing,683,GATv2,0.8089,586.247,267.064
ai23_osm,42,1,Enfield,707,HistAvg,1.1452,433.336,276.391
ai23_osm,42,1,Enfield,707,RF,0.8448,447.196,203.896
ai23_osm,42,1,Enfield,707,MLP,0.8342,440.67,201.336
ai23_osm,42,1,Enfield,707,GATv2,0.8474,450.913,204.534
ai23_osm,42,1,Greenwich,659,HistAvg,0.9994,596.257,285.229
ai23_osm,42,1,Greenwich,659,RF,0.8178,610.639,233.385
ai23_osm,42,1,Greenwich,659,MLP,0.8242,614.599,235.205
ai23_osm,42,1,Greenwich,659,GATv2,0.8234,616.205,234.998
ai23_osm,42,1,Hackney,442,HistAvg,0.8267,512.63,325.701
ai23_osm,42,1,Hackney,442,RF,0.7674,516.662,302.346
ai23_osm,42,1,Hackney,442,MLP,0.7664,510.078,301.928
ai23_osm,42,1,Hackney,442,GATv2,0.7774,536.299,306.295
ai23_osm,42,1,Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
ai23_osm,42,1,Hammersmith and Fulham,276,RF,0.7832,760.977,371.357
ai23_osm,42,1,Hammersmith and Fulham,276,MLP,0.7798,757.075,369.73
ai23_osm,42,1,Hammersmith and Fulham,276,GATv2,0.7842,763.572,371.818
ai23_osm,42,1,Haringey,461,HistAvg,0.8402,761.461,380.81
ai23_osm,42,1,Haringey,461,RF,0.7876,771.427,357.005
ai23_osm,42,1,Haringey,461,MLP,0.7801,759.116,353.568
ai23_osm,42,1,Haringey,461,GATv2,0.7954,782.979,360.522
ai23_osm,42,1,Harrow,432,HistAvg,1.0881,369.502,256.035
ai23_osm,42,1,Harrow,432,RF,0.7803,374.378,183.616
ai23_osm,42,1,Harrow,432,MLP,0.7822,379.045,184.068
ai23_osm,42,1,Harrow,432,GATv2,0.7935,387.64,186.72
ai23_osm,42,1,Havering,691,HistAvg,1.6017,456.404,268.356
ai23_osm,42,1,Havering,691,RF,0.8153,407.882,136.593
ai23_osm,42,1,Havering,691,MLP,0.8292,434.077,138.925
ai23_osm,42,1,Havering,691,GATv2,0.8256,435.089,138.316
ai23_osm,42,1,Hillingdon,706,HistAvg,1.3003,592.939,309.8
ai23_osm,42,1,Hillingdon,706,RF,0.857,599.945,204.166
ai23_osm,42,1,Hillingdon,706,MLP,0.8726,607.806,207.901
ai23_osm,42,1,Hillingdon,706,GATv2,0.8903,617.11,212.103
ai23_osm,42,1,Hounslow,651,HistAvg,1.054,427.703,263.162
ai23_osm,42,1,Hounslow,651,RF,0.8035,435.06,200.621
ai23_osm,42,1,Hounslow,651,MLP,0.8008,434.187,199.954
ai23_osm,42,1,Hounslow,651,GATv2,0.8272,450.424,206.533
ai23_osm,42,1,Islington,349,HistAvg,0.7866,736.434,408.65
ai23_osm,42,1,Islington,349,RF,0.764,728.021,396.928
ai23_osm,42,1,Islington,349,MLP,0.7834,746.064,406.998
ai23_osm,42,1,Islington,349,GATv2,0.7915,756.568,411.196
ai23_osm,42,1,Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
ai23_osm,42,1,Kensington and Chelsea,260,RF,0.7609,531.578,329.853
ai23_osm,42,1,Kensington and Chelsea,260,MLP,0.7422,528.063,321.76
ai23_osm,42,1,Kensington and Chelsea,260,GATv2,0.7549,548.247,327.256
ai23_osm,42,1,Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
ai23_osm,42,1,Kingston upon Thames,391,RF,0.8192,566.184,190.864
ai23_osm,42,1,Kingston upon Thames,391,MLP,0.8154,565.226,189.979
ai23_osm,42,1,Kingston upon Thames,391,GATv2,0.8421,574.439,196.213
ai23_osm,42,1,Lambeth,577,HistAvg,0.8618,942.451,428.607
ai23_osm,42,1,Lambeth,577,RF,0.8244,938.568,410.044
ai23_osm,42,1,Lambeth,577,MLP,0.8231,955.883,409.386
ai23_osm,42,1,Lambeth,577,GATv2,0.8275,962.275,411.562
ai23_osm,42,1,Lewisham,609,HistAvg,0.9859,512.677,290.318
ai23_osm,42,1,Lewisham,609,RF,0.7926,522.002,233.376
ai23_osm,42,1,Lewisham,609,MLP,0.7903,522.189,232.724
ai23_osm,42,1,Lewisham,609,GATv2,0.7967,529.513,234.611
ai23_osm,42,1,Merton,457,HistAvg,1.0347,493.948,268.128
ai23_osm,42,1,Merton,457,RF,0.7779,489.667,201.581
ai23_osm,42,1,Merton,457,MLP,0.7829,492.906,202.878
ai23_osm,42,1,Merton,457,GATv2,0.7784,495.005,201.705
ai23_osm,42,1,Newham,465,HistAvg,0.8322,506.085,319.074
ai23_osm,42,1,Newham,465,RF,0.765,521.108,293.314
